Course Title,Course Description
FSF3852 - Optimal styrteori,"<p>To pass the course, the student should be able to do the following:</p><ul><li> <p>Describe how the dynamic programming principle works (DynP) and apply it to discrete optimal control problems over finite and infinite time horizons.</p></li><li> <p>Use continuous time dynamic programming and the associated Hamilton-Jacobi-Bellman equation to solve linear quadratic control problems.</p></li><li> <p>Use the Pontryagin Minimum Principle (PMP) to solve optimal control problems with control and state constraints.</p></li><li> <p>Use Model Predictive Control (MPC) to solve optimal control problems with control and state constraints. You should also be able understand the difference between the explicit and implicit MPC control and explain their respective advantages.</p></li><li> <p>Formulate optimal control problems on standard form from specifications on dynamics, constraints and control objective. In addition be able to explain how various control objectives affect the optimal performance.</p></li><li> <p>Explain the principles behind the most standard algorithms for numerical solution of optimal control problems and use Matlab to solve fairly simple but realistic problems.</p></li><li> <p>Integrate the tools learnt during the course and apply them to more complex problems.</p></li><li> <p>Explain how PMP and DynP relates to each other and know their respective advantages and disadvantages. In particular, be able to describe the difference between feedback control versus open loop control and also be able to compare PMP and DynP with respect to computational complexity.</p></li><li> <p>Combine the mathematical methods used in optimal control to derive the solution to variations of the problems studied in the course.</p></li></ul> <p>Dynamic programming in continuous and discrete time. Hamilton-Jacobi-Bellman equation. Theory of ordinary differential equations. The Pontryagin maximum principle. Linear quadratic optimization. Model predictive control. Infinite horizon optimal control problems. Sufficient conditions for optimality. Numerical methods for optimal control problems.</p> <p>Project, written examination, exercises.</p>"
"BB200X - Examensarbete inom bioteknik, avancerad nivå","<p>1. Demonstrate knowledge of the chosen topic's scientific foundation and applications, in-depth insight into current research and development, as well as in-depth knowledge of methodology.</p><p>2. Demonstrate ability to holistically, critically and systematically search, collect and integrate knowledge, and identify one´s need for further knowledge.</p><p>3. Demonstrate ability to identify, analyse, assess, and handle complex phenomena, issues and situations, even with limited information.</p><p>4. Demonstrate ability to plan and with adequate methods carry out advanced tasks within given time frames, and evaluate this work.</p><p>5. Demonstrate ability to develop and evaluate products, processes, systems, methods, or technical solutions, while taking into consideration human conditions and needs, and the society's aim for economically, socially and ecologically sustainable development.</p><p>6. Demonstrate ability to clearly present and discuss conclusions and the underlying arguments with other groups both orally and in writing.</p><p>7. Demonstrate ability to make judgements considering relevant scientific, social, and ethical aspects</p><p>8. Demonstrate the skills required to participate in research and development work, or to work independently in other advanced activities.</p> <p>Individually designed and completed project within Biotechnology. Assessing others student's project within Biotechnology.</p> <p>Oral presentations and public discussion can only take place at special seminars scheduled by the course administrator.</p><p>Grading criteria are specified in the course description.</p>"
AF2020 - Research Methodology in Infrastructure Engineering,"<p>The aim of the course is to provide necessary tools for students to conduct research in the area of infrastructure engineering and to present their results. The course deals with research processes including information retrieval, discussion and evaluation of results, how to write reports as well as oral presentation techniques.  After finishing the course, the students shall be able to design a research project, choose appropriate research methodology and conduct a literature review. The students should also be able to write a paper in the format which is required by international scientific journals, and know how to submit an article to an international journal on line. Furthermore, students should be able to make oral presentations and critically evaluate research papers.</p> <p>The course will involve lectures and a project task involving:</p><ul><li>Design of research papers</li><li>Preparation of papers for international scientific journals</li><li>Submission of papers on line</li><li>Reviewing of papers</li><li>Oral presentations<strong> </strong></li></ul> "
"MF217X - Examensarbete inom teknisk design, avancerad nivå","<p>From the goals for degree project for engineering degree established by KTH, the student should be able to:</p><p>1. demonstrate knowledge and understanding of the scientific foundation and best practices for the chosen subject, as well as an advanced understanding in current research and development, and advanced knowledge on methods.</p><p>2. demonstrate the ability to search for, gather and integrate knowledge and identify their need for additional knowledge, all with a holistic, critical and systematic work approach</p><p>3. demonstrate the ability to identify, analyse, assess and handle complex phenomena, issues and situations also with limited information</p><p>4. demonstrate the ability to plan and with adequate methods carry out qualified assignments within given time frames and to evaluate this work</p><p>5. demonstrate the ability to develop and evaluate products, processes, systems, methods or technical solutions with respect to people's circumstances and needs, as well as society's goals in term of economically, socially and ecologically sustainable development</p><p>6. demonstrate the ability, both orally and in writing, in dialogue with different groups, to clearly account for and discuss their conclusion and the knowledge and arguments on which these are based</p><p>7. demonstrate the ability to make assessments considering relevant scientific, social and ethical aspects</p><p>8. show such skills that is required to participate in research and development or to work independently in other qualified activities</p> <p>The education is concluded with a degree project in which the student is expected to demonstrate his/her ability to independently solve a technical design problem in an engineering way. The work should be based on relevant theories and be presented as a written report and an oral presentation. In the degree project is also included to be present at the public presentations of two other degree projects at KTH and to review and publicly discuss anothe degree project.</p><p>The degree project must have a significant content of technical design, while focus can vary significantly between different degree projects. Examples on on different focuses can be:</p><p>- to develop a new concept for a technical system</p><p>- to design and evaluate a new component in an existing technical systems</p><p>- to investigate and develop new design/design methods and/or design tools.</p><p>Provided that the degree project satisfies the requirements above, as decided by the course coordinator or examiner, and provided that qualified supervision is provided throughout the degree project, the student can choose to carry out the degree project either at an academic department, within an industrial company, or at a consulting firm in Sweden or abroad.</p> "
"MJ239X - Examensarbete inom tillämpad termodynamik, avancerad nivå","<ol><li>demonstrate knowledge and understanding of the scientific foundation and best practices for the chosen subject, as well as an advanced understanding in current research and development, and in-depth knowledge of methodology.</li><li>demonstrate the ability to search, gather and integrate knowledge and identify their need for additional knowledge, all with a holistic, critical and systematic work approach.</li><li>demonstrate the ability to identify, analyse, assess and handle complex phenomena, issues and situations also with limited information</li><li>demonstrate the ability to plan and with adequate methods carry out qualified assignments within given time frames and to evaluate this work</li><li>demonstrate the ability to develop and evaluate products, processes, systems, methods or technical solutions considering the prerequisites and needs of people and the aim of the society for economically, socially and ecologically sustainable development</li><li>demonstrate the ability to orally and in writing in dialogue with different groups clearly account for and discuss his conclusions and the knowledge and the arguments that these are based on</li><li>demonstrate the ability to make assessments considering relevant scientific, social and ethical aspects</li><li>demonstrate the skills required to participate in research and development work, or to work independently in other qualified activities</li></ol> <p>The Master programme is concluded with a degree project in which the student is expected to demonstrate ability to independently solve an engineering problem by using a broad spectrum of skills. The subject for the degree project can vary but it must contain significant technical contents, have a clear application within chosen field and, if applicable, contribute to sustainable development. Provided that the degree project satisfies the requirements above, as decided by the course coordinator or examiner, and provided that qualified supervision is provided throughout the degree project, the student can choose to carry out the degree project either at an academic department, within an industrial company, or at a consulting firm, in Sweden or abroad.</p> <p>XUPP- Examination question, 30 credits</p><p>Besides the established KTH criteria for passing a second cycle degree project, the course specific criteria are:</p><p>Concluded project work with agreed deliverables, attendance at compulsory seminars, presentation at these, public discussion and completion of final report.</p>"
DM1588 - Sensorprogrammering för medieteknik,"<p>After passing the course, the student should be able to</p><ul><li>explain basic principles of sensors and actuators</li><li>explain the function of different sensors and actuators (e.g. ultrasonic sensors, temperature and humidity sensors, light sensors, accelerometers, magnetometers, pressure sensors, simple electrical and mechanical actuators),</li><li>recommend appropriate sensors for implementing a specific input modality</li><li>recommend appropriate actuators for implementing a specific output modality</li><li>program an embedded platform</li><li>design and program interactive applications that use sensors and actuators</li></ul><p>in order to</p><ul><li>be able to use embedded platforms, sensors and actuators to design interactive applications.</li></ul> <p>The course gives an introduction to sensors and actuators and how they can be programmed and used in a commercial embedded system (such as Arduino or Raspberry Pi). The course has a theoretical part in which different properties of sensors and actuators and their respective input and output signals are examined, as well as a practical part directed towards realisation of an interactive multi-modal installation.</p> "
A42H1A - Arkitekturens historia och teori 4:1,"<p>The over all purpose of the course is to offer insights into historical and theoretical aspects of the architectural field.</p><p>After finishing the course the student should be able to</p><p>• analyse the literature from a critical perspective</p><p>• independently find and benefit from literature in the field concerned</p><p>• present the results in writing and/or orally.</p> <p>The course is subdivided into parallel series of seminars, where the student enter deeply into one theme within architecture history och architecture theory.</p> <p>MOM1 - Moment, 3.0 credits, grade scale: P, F</p>"
"DA236X - Examensarbete i datalogi och datateknik med inriktning mot systemteknik och robotik, avancerad nivå","<p>After passing the degree project course, the student should be able to:</p><ul><li>show advanced knowledge within the main field of study/the specialisation for the education, including advanced insight into current research and development work,</li><li>show methodological knowledge within the main field of study/the specialisation for the education,</li><li>participate in research and development work and thereby contribute to the knowledge development,</li><li>with a holistic approach, critically, independently and creatively identify, formulate, analyse, assess and deal with complex phenomena and issues, even with limited information,</li><li>plan and with adequate methods carry out qualified assignments within given frames, and evaluate this work,</li><li>integrate knowledge critically and systematically and identify the need of additional knowledge</li><li>in Swedish or in English, in speech and writing clearly report and discuss their conclusions and the knowledge and arguments on which they are based,</li><li>within the frames of the degree project identify the role of the scholarship and the engineer in the society,</li><li>within the frame of the specific degree project identify which issues that need to be answered in order to observe relevant dimensions of sustainable development,</li><li>within the frames of the degree project assess and show awareness of ethical aspects of research and development work, with respect to methods, working methods and results of the degree project</li></ul><p>in order to</p><ul><li>be able to participate in research and development or work independently in other qualified activities according to the national aims for a Degree of Master of Science in Engineering and Degree of Master of Science in Higher Education Ordinance.</li></ul> <p>Before the degree project course is started, the student should identify an appropriate degree project assignment and formulate a project proposal, so that this can be approved by the examiner. The assignment should be chosen so that it implies a natural progression of the knowledge and skills that have been acquired within the education and in a possible specialisation within the education.</p><ul><li>The student writes an individual plan for the degree project, in which the problem description/assignment and the preconditions for the implementation of the work are specified.</li><li>The student carries out an in-depth pre-study including discussions of method choice and theoretical background with a literature study that is reported as part of a draft to a preliminary version of the written degree project report.</li><li>The student independently carries out a degree project, where knowledge and methods from the education are applied.</li><li>The student plans and carries out an oral presentation and defence of his or her degree project.</li><li>The student carries out an oral and written review of another first-cycle degree project.</li><li>The student writes and presents a written degree project report, where the student clearly accounts for and discusses own conclusions in the degree project and the knowledge and the arguments that underpin them.</li><li>The student carries out a self-evaluation of the degree project according to established model.</li></ul> <p>PROA includes</p><ul><li>individual plan for the degree project</li><li>a pre-study, a discussion of choice of method, and a literature study.</li><li>a written report with an abstract in both Swedish and English.</li><li>an oral presentation</li><li>a self-assessment report.</li><li>a written and oral review (public discussion) of another student's second-cycle degree project</li></ul>"
"DA239X - Examensarbete i datalogi och datateknik, avancerad nivå","<p>After passing the degree project course, the student should be able to:</p><ul><li>show advanced knowledge within the main field of study/the specialisation for the education, including advanced insight into current research and development work,</li><li>show methodological knowledge within the main field of study/the specialisation for the education,</li><li>participate in research and development work and thereby contribute to the knowledge development,</li><li>with a holistic approach, critically, independently and creatively identify, formulate, analyse, assess and deal with complex phenomena and issues, even with limited information,</li><li>plan and with adequate methods carry out qualified assignments within given frames, and evaluate this work,</li><li>integrate knowledge critically and systematically and identify the need of additional knowledge</li><li>in Swedish or in English, in speech and writing clearly report and discuss their conclusions and the knowledge and arguments on which they are based,</li><li>within the frames of the degree project identify the role of the scholarship and the engineer in the society,</li><li>within the frame of the specific degree project identify which issues that need to be answered in order to observe relevant dimensions of sustainable development,</li><li>within the frames of the degree project assess and show awareness of ethical aspects of research and development work, with respect to methods, working methods and results of the degree project</li></ul><p>in order to</p><ul><li>be able to participate in research and development or work independently in other qualified activities according to the national aims for a Degree of Master of Science in Engineering and Degree of Master of Science in Higher Education Ordinance.</li></ul> <p>Before the degree project course is started, the student should identify an appropriate degree project assignment and formulate a project proposal, so that this can be approved by the examiner. The assignment should be chosen so that it implies a natural progression of the knowledge and skills that have been acquired within the education and in a possible specialisation within the education.</p><ul><li>The student writes an individual plan for the degree project, in which the problem description/assignment and the preconditions for the implementation of the work are specified.</li><li>The student carries out an in-depth pre-study including discussions of method choice and theoretical background with a literature study that is reported as part of a draft to a preliminary version of the written degree project report.</li><li>The student independently carries out a degree project, where knowledge and methods from the education are applied.</li><li>The student plans and carries out an oral presentation and defence of his or her degree project.</li><li>The student carries out an oral and written review of another second-cycle degree project.</li><li>The student writes and presents a written degree project report, where the student clearly accounts for and discusses own conclusions in the degree project and the knowledge and the arguments that underpin them.</li><li>The student carries out a self-evaluation of the degree project according to established model.</li></ul> <p>In PRO1 is included</p><ul><li>an individual plan for degree project</li><li>a pre-study, a discussion of choice of method, and a literature study.</li></ul><p>In PRO2 is included</p><ul><li>a written report with abstract in both Swedish and English.</li><li>a self-assessment report.</li></ul><p>In PRO3 is included</p><ul><li>an oral presentation</li><li>a written and oral review (public discussion) of another student's second-cycle degree project</li><li>the final version of the report.</li></ul>"
FIK3510 - Flerantennkommunikation,"<p>After passing the course, the student should</p><ol><li>be able to describe, apply, and analyze the fundamental limitations when using the wireless medium for communications; in particular, the relations between channel capacity, channel coherence, spatial degrees of freedom, transmission power, pilot contamination, and bandwidth.</li><li>be able to apply multiple antenna techniques to achieve high capacity in point‐to‐point as well as multi‐user communications, as well as being able to examine and interpret the results.</li><li>with high precision be able to formulate and solve engineering oriented problems regarding the achievable performance and limits of multiple antenna communications.</li><li>be able to utilize power control and other resource management parameters to design communication systems that meet given service requirements on spectral efficiency and energy efficiency.</li><li>be able to implement, validate and compare the main theoretic multiple antenna concepts via computer simulations.</li></ol> <p>Fundamental limits: Capacity behavior as power or bandwidth increases. Examples of practical systems that are power and bandwidth limited. Orthogonal versus non-orthogonal transmission in scenarios with multiple users.</p><p>Basic multiple antenna channels: Array gain, capacity of channels with multiple antennas at one side. Modeling of multi‐antenna channel responses.</p><p>Fading channels: Rayleigh fading channels, outage capacity, diversity, channel coherence, ergodic capacity.</p><p>Point‐to‐point MIMO: Capacity of channels with multiple antennas at both sides, multiplexing gain, spatial degrees of freedom.</p><p>Uplink multi‐user MIMO: Uplink capacity, non‐linear and linear detection, channel estimation, capacity bounds in systems with many antennas.</p><p>Downlink multi‐user MIMO: Linear precoding, capacity bounds in systems with many antennas, differences and similarities between uplink and downlink.<br />Power control: Rate region, typical operating points, basic power allocation formulations.</p><p>Cellular networks: Engineering aspects of applying multiple antenna techniques in cellular networks, including reuse strategies, pilot contamination, and interference management.</p> <p>The examination consists of three parts: A written exam, laboratory exercises carried out in MATLAB, and a set of homework problems that are solved individually and then actively discussed in joint tutorial sessions.</p>"
FME3546 - Digital medieanalys,"<p>On completion of the course, the student will be able to:</p><ol><li>Demonstrate a broad knowledge of the emergence of Digital Media Analytics in industrial economics and business research, including its contemporary development</li><li>Identify strategies for capturing and analysing complex empirical phenomena using Digital Media Analytics</li><li>Reflect critically on the nature of digital data and ethical approaches to these forms of data</li><li>Reflect on how Digital Media Analytics can be used to contribute to the 17 Sustainable Development Goals</li></ol> <p>This course covers the following aspects:</p><ul><li>The emergence of Digital Media Analytics in industrial economics and business research</li><li>Data collection using Digital Media Analytics</li><li>Data preparation using Digital Media Analytics</li><li>Data analysis using Digital Media Analytics</li><li>Different forms of research contributions that Digital Media Analytics enable</li></ul> "
FMF3035 - Systemtänkande och modellering av komplexa dynamiska system,"<p>The course gives the students an introduction to systems thinking and modelling of complex dynamic sociotechnical systems by using the methodology System Dynamics.</p><p> After the course, the student should be able to:</p><ol><li>Describe central terms and concepts within system thinking</li><li>Use these concepts to describe events, phenomena, and structures from the real world,</li><li> Understand and explain basic system archetypes, including which system behavior that these causes.</li><li>Describe and analyze systems from a sustainability perspective.</li><li>Understand how System Dynamics can be used to model information flows and mental models, and to evaluate policies.</li><li> Build, validate and analyze System Dynamics models by using Vensim (or another similar software)</li><li>Formulate complex dynamic problems, and analyze them by using System Dynamics</li><li>Argue for the results validity</li><li>Use system thinking and System Dynamics modelling to communicate results to stakeholders and actors</li></ol> <p>The course includes literature studies, lectures, seminars (discussions), hand-in exercises, a project work, and presentation. During the course, the students will continuously give feedback on each other’s work. Course literature comprises standard literature within the field as well as recent research articles.</p><p> Areas covered:</p><ul><li>Formulation of dynamic problems</li><li>Fundamental concepts within system thinking and system design (e.g. causality, Little’s Law, feedback)</li><li>Causal Loop Diagrams</li><li>Mental models</li><li>System structures and system archetypes</li><li>Naming convention and ”good practice” with modelling with system dynamics.</li><li>The modelling process</li><li>Validation of system dynamics modell</li><li>Communication using system dynamics models</li></ul> "
"FMJ3388 - Hållbarhetsperspektiv för att utvärdera och utforma forskning, projekt och policyer","<p>The course focuses on the main interlinkages between their student's research and broader Sustainable Development. The course will be composed of a mix of lectures and hands-on exercises to relate the student's research topic to the Sustainable Development Goals. One of the course output will be on applying tools to evaluate the sustainability implications of the participant's own PhD topic.</p><p>After the completion of this course, the course participants will be able to:</p><ol><li>Explain different interpretations of Sustainable Development (and sustainability) and the key international agreements in the field</li><li>Explain relevant sustainable development challenges in relation to specific research areas</li><li> Critically reflect on how the student's research field relates to the Agenda 2030 and the Sustainable Development Goals</li><li> Map, explain and evaluate how the PhD student's research relates to sustainability paradigms and contextualise it within its synergies and trade-offs with the Sustainable Development Goals</li><li>Present a plan to further integrate sustainability aspects in the student´s research topic</li></ol> <p>The course will be composed of a mix of lectures and hands-on exercises to relate the student's research topic to aspects of the Sustainable Development Goals. One of the course output will be on applying methods to evaluate the sustainability implications of the participant's own PhD topic.</p><p>Seminars will include key concepts on sustainability, the Sustainable Development Goals, and international agreements on sustainable development, and relate key research areas at KTH with sustainability. For instace, seminars will relate to how climate change, social justice and gender equality, energy and industrial transitions and economic transition relate to broader Sustainable Development.</p><p>Students will learn how to map and evaluate their research in relation to the Sustainable Development Goals, both to produce the course final presentation and report, but also to fill the dedicated section on Sustainable Development in their eISP</p><p>Subjects and concepts that are brought up in the course include:</p><ul><li>Information on global international sustainable development agreements and their link to national policy. </li><li>Global competence and key competencies in sustainability education</li><li>Social justice and gender equality in the SDGs </li><li>Industrial transitions and sustainability transitions</li><li>Energy systems and the SDGs.</li><li>Climate change and the SDGs</li><li>Sustainable transport systems </li><li>Sustainable production and consumption, circular economy</li><li>Economic and sustainable development - substitutes or complements? </li><li>Artificial Intelligencefor sustainable development</li></ul> "
KF2500 - Polymerteknologi,"<p>After the course the student should be able to:</p><ul><li>connect properties of polymeric materials to their structure, use material selection and identification methodologies,</li><li>describe material related conditions for forming of polymer materials and have insight regarding the most important polymer-based processing techniques.</li></ul><p>After finished course the student should also have knowledge about:</p><ul><li>how different material parameters and external factors affect the mechanical properties</li><li>which test methods are suitable for measurement of mechanical properties</li><li>difference in influence of static and dynamic stress</li><li>mechanical properties of polymer materials at small deformations, plastic deformation and deformation to fracture</li><li>influence of time and temperature.</li></ul> <p>The course is based on three main parts:<br />1) relation between structure and properties of polymer materials (including material selection and identification),<br />2) polymer processing and<br />3) mechanical properties of polymers. Examples of parts which are included in the course are additives for polymer materials, extrusion, injection moulding, calandering and mechanical properties of polymers under static and dynamic loading.</p><p>Structure and properties of polymer materials. Additives, material selection, Identification of polymer materials in products. The course also aims at providing knowledge in polymer processing and highlights the connections between selection of materials, methods and the final properties of the polymer products. The course deals with the mechanical properties of polymer melts and their physical appearance; rheology, molecular orientation and solidification. The dominating processing methods (injection moulding, extrusion) are thoroughly discussed. Other processing methods are described briefly. Special attention is put on the impact of the different processing methods on the material structure and properties, morphology, molecular orientation, anisotropy, thermal residual stresses etc. Mechanical properties of polymer materials and composites (material blends, nanocomposites, filled and reinforced systems). Mechanical testing, viscoelasticity, plasticity, fracture properties, deformation rate and temperature influence. Molecular and morphological influence on the mechanical properties. External influence on the mechanical properties.</p> <p>The final grade is the same as the grade on the examination.</p>"
ME2836 - Entreprenöriella familjeföretag,"<p>After completing the course, students will be able to:</p><ol><li>Analyze key characteristics, opportunities and challenges that different types of family businesses face and evaluate how these differ from non-family businesses.</li><li>Integrate main theories, models and concepts in the field of family businesses, and argue for how these can be used to understand different types of entrepreneurial family businesses.</li><li>Analyze common themes that are important for building entrepreneurial family businesses and making them grow, both from a theoretical and a practical perspective.</li><li>Integrate and reflect on common challenges and important decisions faced by entrepreneurial family businesses and build appropriate strategies to address these challenges and important decisions in practice.</li></ol> <p>The course introduces students to the broad but complex phenomenon of entrepreneurial family businesses. The course covers many themes that are relevant when starting a new company, or to maintain the entrepreneurial capacity of established family businesses and make them grow. Examples of themes included in the course are: the history of family businesses and the characteristics of entrepreneurial family businesses around the world, strategy, innovation, governance, leadership, generational change, sustainability, finance, entrepreneurship across generations, conflicts and relationships and advice to family businesses.</p><p>The purpose of the course is to introduce conceptual tools and theoretical frameworks that can help students better understand entrepreneurial family businesses. The course also contains many practical learning situations with real case studies, guest lectures and possible company visits that concern both new family-based, innovative initiatives and established, long-lived family companies that have maintained and developed their entrepreneurial spirit for centuries. The course mixes examples and experiences from a Swedish environment with a strong international focus and perspective.</p> <p>This course is given within the framework of the SSES collaboration and the examination will take place continuously during the course. To facilitate the administration between the different SSES universities, however, the course in Ladok is reported within the framework of one examination moment.</p>"
SK2550 - Röntgenfysik och tillämpningar,"<p>After completing the course the student should be able to:</p><ul><li>describe X-ray scattering properties of different materials</li><li>explain different X-ray sources, X-ray optics and X-ray detectors</li><li>conduct a basic X-ray experiment</li><li>evaluate an analytical method using X-rays</li></ul> <p><strong>Part 1</strong>: X-ray basics</p><p>X-ray interaction with matter, X-ray sources, X-ray optics, X-ray detectors</p><p><strong>Part 2</strong>: Application examples and special topics</p><p>To be chosen by the course participants (see website)</p> "
"SG1217 - Strömningsmekanik, grundkurs","<p>After studying this course the student should be able to:</p><ul><li>apply the conservation laws for mass and momentum in various technical flow problems in order to analyze the interaction of forces between solid bodies and flowing/stationary fluids,</li><li>identify and apply mathematical models for estimating fluid mechanical quantities,</li><li>conduct a comparative analysis between the results of a mathematical model and the corresponding empirical data.</li></ul> <p>Hydrostatics. The kinematics of currents. Streamline and particle path. Dimensional analysis. Frictionless incompressible flow. Bernoulli's equation. The control volume formulation of the continuity and momentum equation. Stream function for two-dimensional flow. Irrotational flow and velocity potential. Viscous flow: laminar and turbulent flow in channels and boundary layers, separation.</p><p><em>Laboratory exercises</em>: Two compulsory laboratory exercises, which are carried out in groups of four students. Each laboratory session begins with a brief oral test to check that all group members are prepared. The laboratory report can be completed at the laboratory session. In addition to the teaching, some demonstrations are carried out in the fluid physics laboratory illustrating various flow phenomena.</p><p><em>Project assignment</em>: Mandatory project assignment on the flow phenomena around a two-dimensional wing profile, especially with regard to the determination of the lifting force. The labs are an integral part of this project assignment.</p> <p>The examiner, in consultation with the KTH coordinator for disability (Funka), decides on any adapted examination for students with documented, permanent disability. The examiner may allow another examination form when re-examining individual students.</p>"
MF2101 - Maskinkonstruktion,"<p>After passing the course, the students should be able to:</p><ul><li>Design and detail mechanical engineering products based on engineering considerations.</li><li>Estimate loads for mechanical engineering products and its included components.</li><li>Apply different design principles of load bearing and load transferring structures.</li><li>Choose engineering materials and standardised components in mechanical engineering products.</li><li>Produce dimensioned and toleranced manufacturing drawings of mechanical engineering products.</li></ul> <p>The course deals with an applied subject, where previously acquired knowledge should be applied and integrated with certain new given theory. The course content can be divided into three main parts:</p><p>1. Systems design of products containing:</p><ul><li>Drive units</li><li>Transmissions</li><li>Joints</li></ul><p>2. Design structures</p><ul><li>Load carrying structures, load application</li><li>Load lines, stress concentrations</li><li>Choice of material</li><li>Manufacturing adaptation</li></ul><p>3. Documentation and communication</p><ul><li>Drawings</li><li>Dimensioning, tolerancing</li></ul> "
FSF3890 - Projekt inom industriell och tillämpad matematik,"<p>The student should demonstrate the ability to:</p><ul><li>Apply relevant knowledge and skills to a given industrial project within applied mathematics,</li><li>Collect additional knowledge and information necessary for the completion of the project</li><li>Work cooperatively in a group towards solving problems in the project</li><li>Select appropriate mathematical tools and models to address industrial problems</li><li>Analyze the models; explain, motivate, and discuss consequences of assumptions and approximations</li><li>Communicate professionally and present scientific results, by writing technical reports, and by giving oral presentations.</li></ul> <p>The mathematical methods and theoretical frameworks depends on the industrial problem, and the topics may change from year to year and have different focus depending on which projects that are selected.</p> <p>The project is reported both in writing and orally in English or in Swedish.</p><p>Project Assignments, grade scale: P/F</p>"
FSK3372 - Visuell psykofysik,"<p>The overall goal of this course is to give the student a fundamental understanding of psychophysics and how it can be applied to measurements of visual function.</p><p>After completing this course, the student should be able to:</p><ul><li>Discuss the advantages with different types of psychophysical methods</li><li>Independently plan and design a psychophysical measurement of a visual function</li><li>Evaluate psychophysical measurements described in scientific publications</li><li>Design and perform visual psychophysical tests with Matlab® and WinVis/Psychophysical toolbox or similar program.</li></ul> <p>Fundamental principals of psychophysical measurements, the psychometric function, psychophysical methods, choice and control of the stimulus, detection and resolution. Measurement of absolute threshold, intensity discrimination, and adaptation to different light levels. Measurement of visual acuity and contrast sensitivity. Temporal factors in vision. Wavelength dependent effects on vision, color vision, chromaticity diagram. Vision development and age related changes.<br />Design and perform visual psychophysical tests with Matlab® and WinVis/Psychophysical toolbox or similar program.</p> "
"AI1501 - Plan-, bygg- och miljörätt","<p>The overall objective of this course is that students after fulfilled course should know the legal system governing change of land use eg in construction or infrastructure projects. The student should also be able to interpret and apply the legal system in less complicated cases, have a basic knowledge of the legal systems and their impact on different situations throughout the activities in built environment and explain the meaning of a court decision.</p><p><strong>This means that students after completed course are able to:</strong></p><p>Describe the legal system governing land development in Sweden regarding planning, permits and implementation in house construction and infrastructure project.</p><p>Apply the rules above on cases of different kind by:</p><ul><li>Identify which rules that may have impact on a specific situation</li><li>Explain how these rules affect those cases</li><li>Propose possible solutions on problems with support of the law</li><li>With help from court cases and prework explain how a specific law rule shall be implemented and report this orally and in writing</li></ul><p><strong>For higher grades the student also should be able to</strong></p><p>Explain how the different laws regarding land development are connected to each other</p><p>Explain the consequences of the more complex rules</p><p>Apply the rules on more complicated cases:</p><ul><li>Identify which rules that may have impact on a specific situation</li><li>Explain how these rules affect those cases</li><li>Propose possible solutions on problems with support of the law</li></ul> <p>The course connect to real cases of land development where we focus on the regulated processes and conditions that may be necessary.</p><p>The following topics are covered in the course:</p><p>The swedish legal system</p><p>The topic covers the process of making laws and how those shall be interpreted with help from preliminary work, court cases. An assignment is connected to this topic where the student shall explain how to interpret a specific law rule.</p><p>Building projects</p><p>The topic covers the laws related to housing construction. Some important questions are the content of detail development plans, responsibilities for and financing of common infrastructure, compulsory purchase of land and permits.</p><p>Road construction projects</p><p>The topic covers the laws related to construction of a big public road. Some important questions are the planning process, how the right to land is aquired and when permits by the environmental law is required.</p> "
ML2100 - Lean produktframtagning,"<p>After having passed this course, participants should be able to:</p><ul><li>explain the basics of a lean system, as well as to describe the similarities and differences between TPM, TQM,and Lean</li><li>explain the basics and the differences and similarities between traditional and lean product development</li><li>be able to adapt their leadership based on the demands of the lean system</li><li>describe the tools and methods used in the pursuit of lean product realization</li><li>apply a selection of these tools and methods for evaluation and design of a resource-efficient product realization system</li><li>based upon practical cases develop solutions that eliminate/reduce waste</li><li>take forward proposals for the appropriate layout for various typical production cases</li><li>organize and lead continuous improvement work</li></ul> <ul><li>The roots of lean, historical perspective</li><li>Lean, TPM, TQM, what is what and how are the different concepts interconnected?</li><li>Values, principles, visions and goals: The company's production system</li><li>Training in communication, interaction and problem solving in order to effectively implement changes in an organization</li><li>Flow, demand driven production</li><li>Process Management, process work, quality tools</li><li>Continuous improvement, PDCA, problem solving and learning</li><li>Value Stream Mapping</li><li>5S, SMED, daily management, visualization, standardized work, layout, etc. (methods and tools</li></ul> <ul><li>INL1 - Assignment, 2 hp; Grades P/F</li><li>PRO1 - Project Data, 3 hp; Grades P/F</li><li>TEN1 - Written examination, 4 hp; Grades A, B, C, D, E, Fx, F</li></ul>"
AL2511 - Resilienstänkande i hållbar samhällsplanering,"<p>After passing the course the student should be able to:</p><p>1. explain and use central concepts in resilience thinking</p><p>2. discuss how these central concepts relate to each other</p><p>3. reflect on and critically discuss resilience thinking in general and in relation to sustainable planning in particular</p><p>4. apply social-ecological resilience in a planning context</p><p>5. present written work in a scientifically sound way</p><p>6. work in a collaborative project setting</p> <p>The course addresses different perspectives on social-ecological systems and their resilience, adaptability and transformability. The concepts are discussed in lectures, seminars and during the student's own studies of literature as well as in group work. We specifically analyze the concepts in relation to sustainable planning.</p><p>English language proficiency equivalent to (the Swedish upper secondary school) English course B/6.</p> "
