Course Title,Course Description
FSD3203 - Fordonsteknisk forskarträning,"<p>After completing the course, the student have learned how to plan, perform and report a research study in vehicle technology.</p> <ul><li>Choose a hypothesis relevant to vehicle technology.</li><li>Explain the theory that describes the chosen problem area.</li><li>Suggest a way to perform a study.</li><li>Evaluate the idea through a simulation study.</li><li>Plan the experiment.</li><li>Perform the study in, for example, a vehicle simulator, in a scaled-down, prototype or real vehicle.</li><li>Summarize the work in a scientific report.</li><li>Communicate the result orally.</li></ul> "
FSF3572 - Approximationsteori,"<p>After completing this graduate course the students will be able to understand and use basic methods and theory for numerical function approximation. In particular, the student should</p><ul><li>be able to use and analyze the basic methods for polynomial approximations (interpolation, least squares, piecewise approximations, Hermite interpolation)</li><li>undestand and use the theory of convergence (Weierstrass) and best approximations for continuous functions as well as error estimates for smooth functions</li><li>understand and use the theory of stability and conditioning for polynomial approximation methods, including its relation to interpolation points via Lebesgue constants</li><li>understand and use the theory of orthogonal polynomials and Gauss quadrature methods</li><li>have a good understanding of a couple of current topics in approximation theory, with a deeper knowledge of at least one of them.</li></ul> <p>The first part of the course mainly considers polynomial approximations and discusses issues related to convergence, accuracy, stability and complexity. The second part introduces various current topics in the field, such as wavelets, radial basis functions, sparse grid approximations and sparse L1 approximations.</p> <p>Homework problems and a project.</p>"
FEI3338 - Karaktärisering av dielektriska material och isolersystem,"<p>After taking this course the student must be able to demonstrate the ability to:</p><ul><li>Describe in detail the setup and principle of a common measurement method for each of two material or system properties, including indicative quantitative assessment of factors affecting uncertainty. </li><li>For a specified type of material characterisation: identify and quantitatively assess error sources and their mitigation; make and justify an estimate of uncertainty.</li><li>Suggest and contrast ways to improve a specified measurement system . </li><li>Define and discuss ways in which the path to sustainability of power systems affects the need for new and improved insulation systems.</li><li>Apply the analysis and estimation skills from the common part of the course in an individual project within the student's research, and present this accessibly in oral and written form. </li></ul> <p>Basic properties of importance for electrical characterization: dielectric response, conduction, charge-distribution, partial discharge, and breakdown strength. Sustainable insulation materials and the higher demands on insulation from increased electrification and renewable energy. Solid materials are the main focus, but systems with gas or liquid are also relevant particularly when in combination with solid dielectrics. Common and state-of-art measurement principles for the material properties. External parameters, repeatability, variance. Error sources and error propagation. Uncertainty assessment and expression. Experimental methods to reduce uncertainty; trade-offs between different choices.</p> <p>The common part of the course is examined based on several assignments and on a final written examination. The specialization is examined based on the final report and on the presentation and discussion at seminars. The subject of the specialization is defined by the student, and must be approved by the examiner before work is started on this part of the course.</p>"
FEI3340 - Analys av fel och skyddsprinciper i elkraftssystem,"<p>After taking this course the student should be able to demonstrate the ability to:</p><ul><li>Describe analytically, and implement numerically, methods for circuit solution of faulted power systems. </li><li>Implement in software a protection algorithm for sampled data. </li><li>Contrast good and bad points of different protection principles for various applications.</li><li>Define and discuss ways in which changes in power systems, in particular the move towards a sustainable energy supply, affect the demands on protection systems now and in the future. </li><li>Search, select, and critically evaluate suitable sources for obtaining new, detailed knowledge about a research topic within the course's scope. </li><li>Present their new knowledge accessibly in oral and written form.</li></ul> <p>Fault types. Analysis of balanced faults. Direct and symmetric-component analysis of unbalanced faults, and their relation and limitations. Core principles used for protection, including some signal-processing aspects. Future challenges, including consequences of increased renewable generation.</p> <p>The common part of the course is examined based on several assignments and on a final written examination. The specialization is examined based on the final report and on the presentation and discussion at seminars. The subject of the specialization is defined by the student, and must be approved by the examiner before getting started.</p>"
FID3024 - System för skalbar maskininlärning,"<p>After passing the course, students should be able to:</p><ul><li>Demonstrate systematic understanding of ML systems and capacity to scholarly analyze and criticize their components.</li><li>Reflect on the ideas and technologies related to ML systems with insight on their possibilities and limitations.</li><li>Examine how ML systems are currently used and evaluate how they can be used for new purposes and under different application domains.</li><li>Identify the need for further knowledge in improving ML systems.</li></ul> <p>The course covers the following topics in the same order</p><ol><li>Fundamental ML, e.g., generalization, back-propagation, etc.</li><li>Parallelization, e.g., data-parallel, model-parallel</li><li>AutoML, e.g., hyperparameter optimization, meta learning, and Neural Architecture Search (NAS)</li><li>Scheduling and optimization, e.g., model compression, gradient compression, etc.</li><li>Robust learning, e.g., byzantine-resilient learning</li><li>ML platforms, e.g., TensorFlow, Ray, Mllib</li></ol> "
FID3214 - Programmering för data science,"<p>Having passed the course, the student should be able to:</p><p>1. account for and discuss the application of</p><ul><li>techniques to convert data to appropriate format for data analysis</li><li>algorithms to analyse data through supervised and unsupervised machine learning, as well as</li><li>techniques and performance measurements for evaluation of data analysis results</li></ul><p>2. implement and apply</p><ul><li>techniques to convert data to an appropriate format for data analysis</li><li>algorithms for supervised and unsupervised machine learning, as well as</li><li>techniques and performance measurements for evaluation of data analysis results</li></ul> <p>Syntax and semantics for programming languages that are particularly suited for data science, e.g., Python. Routines to import, combine, convert and make selection of data. Algorithms for handling of missing values, discretisation and dimensionality reduction. Algorithms for supervised machine learning, e g naive Bayes, decision trees, and random forests. Algorithms for unsupervised machine learning e g k-means clustering. Libraries for data analysis. Evaluation methods and performance metrics. Visualisation and analysis of results of data analysis. </p><p><strong>Course structure</strong></p><p>Ten lectures (non-mandatory)</p><p>One mandatory seminar</p><p>Four assignments, of which one is to be presented at the seminar</p><p><strong>Course literature</strong></p><p>I. Witten, E. Frank, M. Hall and C. Pal, Data Mining: Practical Machine Learning Tools and Techniques (4th ed.), Morgan Kaufmann, 2016 ISBN: 9780128042915. J. VanderPlas, Python Data Science Handbook: Essential tools for working with data (1st ed.), O'Reilly Media Inc., 2016 ISBN: 9781491912058.</p><p><strong>Required equipment</strong></p><p>Own computer</p> <p>Three of the four assignments are the same as for the corresponding course on the advanced level (ID2214). The fourth assignment consists of a small-scale research project, in which a research question has to be identified and results have to be presented in a short scientific article.</p>"
FLF3012 - Vetenskapsteoretiska perspektiv på teknik och lärande,"<p>On passing the course, the student should be able to;</p><ul><li>discuss and compare natural science, engineering science, and the educational science within these domains, drawing on knowledge theory and sociology of science perspectives</li><li>critically discuss research within technology and learning in the light of knowledge theory, sociology of science, and history of ideas perspectives</li><li>formulate a chosen research approach by relating to perspectives and approaches discussed in the course, and formulate constructive critique/feedback on the work of other doctoral candidates</li></ul> <p>The emergence of the global science community – how it works, disciplines and interdisciplinarity. Classical ideas in the theory of science. The history of ideas within technological sciences. Studies of the relationship between technology and learning.</p> "
MJ2487 - Projektkurs i aeromekanik,"<p>The Intended Learning Outcomes (ILOs) for the course are that after completing the course the students will be able to:</p><p>- describe the phenomena of flutter and forced response</p><p>- plot and interpret a Campbell diagram</p><p>- analyze the current literature on turbomachinery aeromechanics</p><p>- explain the main assumption behind the standard methods used to analyze turbomachinery aeromechanics</p><p>- determine the fundamental structural modes of a turbine blade by using a state-of-the-art commercial software</p><p>- perform steady and unsteady flow simulations of a 3D turbine blade using  a state-of-the-art  commercial  CFD software</p><p>- perform a flutter analysis of turbomachinery blade row</p><p>- present and describe the results of an aeromechanical analysis</p> <p>This is a course on the multi-disciplinary subject of turbomachinery aeromechanics. The subject combines the sub-topics of unsteady aerodynamics, structural dynamics and turbomachinery. The course will focus on the two main aeromechanical problems (flutter and forced response) that affect axial turbomachines. The students will learn the standard methods that are used to analyze aeromechanical problems and the assumption behind these standard methods.  The students will also gain experience in reading literature on the field. The course will also give the students experience in performing a state-of-the-art aeromechanical analyses using commercial software that is currently used in industry. The students will also gain experience in presenting the results from aeromechanical analyses</p><p>The following topics will be covered in the course:</p><p>- Modelling of blade motion through modal analysis</p><p>- Application of FEM (Finite Element Method) on blade geometries</p><p>- Theory of unsteady aerodynamics for aeromechanics (forcing, damping, linear assumption)</p><p>- Coupling of structural-dynamic and fluid-dynamic equations</p><p>- Theory of flutter and Travelling Wave Modes (TWM)</p><p>- Theory of Forced Response and Campbell diagrams</p><p>- Industrial perspective of turbomachinery aeromechanics</p><p>- Analysis of the current literature</p><p>- Using ANSYS CFX software to solve a flutter problem (this include mesh generation, setup and running of steady-state simulations, setting up unsteady flow simulation with moving mesh, running unsteady flow simulation, post processing results for unsteady flow simulation)</p><p>- Flutter analysis and reporting </p> "
"AL1130 - Fysik, Kemi, Energi och miljö för CL"," <p>The course is divided into three parts</p><p>The first part deals with the environment and energy, energy systems and sustainable development. Global warming is an important example that will also serve as an introduction for methods on how to approach an environmental problem as well as the engineer’s role to handle and find solutions to an environmental problem.</p><p>The second part deals with: Chemical reactions and reaction formulas. Representation of chemical compounds with names, formulas and models. Atomic structure, periodic table, electron configuration, orbitals, models of chemical bonding, Lewis structures and VSEPR model. Chemical reactivity, kinetics, and equilibrium. Stoichiometry. Thermo- chemistry. Application examples. Laboratory safety and chemical hazards. Communicating chemistry.</p><p>The third part concerns: Fundamentals of electric and magnetic fields, Models of atoms, Band model for solids, Radiation especially heat radiation, Light sources, Laser, Laser metrology, Spectroscopy</p><p>The course includes an academic introduction that includes group dynamics, how to search for scientific information and how to write a scientific report.</p> "
FAF3213 - Säkerhetsanalys för stora bärverk,"<p>After completing the course the student should be able to present implementation of a deepening project in the area.</p> <p>The course can be a theoretical or experimental study or it can be a literature review of a course book.</p> <p>The project can be presented orally or in written form, as agreed with the examiner.</p>"
